entry_id, crystal_growth_procedure
"4H9E","7.5% sodium chloride, 100 mM sodium acetate pH 4.8, 25% ethylene glycol, vapor diffusion, hanging drop, temperature 298K"
"4H9F","7.5% sodium chloride, 100 mM sodium acetate pH 4.8, 25% ethylene glycol, vapor diffusion, hanging drop, temperature 298K"
"4H9H","7.5% sodium chloride, 100 mM sodium acetate pH 4.8, 25% ethylene glycol, vapor diffusion, hanging drop, temperature 298K"
"4H9I","7.5% sodium chloride, 100 mM sodium acetate pH 4.8, 25% ethylene glycol, vapor diffusion, hanging drop, temperature 298K"
"4HP0","0.2M Magnesium chloride hexahydrate, 0.1M BIS-TRIS(pH6.5), 25% PEG 3350, VAPOR DIFFUSION, SITTING DROP, temperature 293K"
"4HPI","0.2M Magnesium chloride hexahydrate, 0.1M BIS-TRIS(pH6.5), 25% PEG 3350, VAPOR DIFFUSION, SITTING DROP, temperature 293K"
"4HSF","40mg/ml lysozyme, 50mM sodium acetate, 150mM NaCl. 
Reservoir Solution: 50mM sodium acetate, 1-1.5M NaCl, 300mM arginine , pH 3.8, VAPOR DIFFUSION, HANGING DROP, temperature 318K"
"4HTK","0.100M sodium acetate, pH 4.73, 5% sodium chloride, w/v, 25% ethylene glycol, v/v, micro-seeded, VAPOR DIFFUSION, HANGING DROP, temperature 293K"
"4HTN","0.100M sodium acetate, pH 4.73, 5% sodium chloride (w/v), 25% ethylene glycol (v/v), micro-seeded, VAPOR DIFFUSION, HANGING DROP, temperature 293K"
"4HTQ","0.100M sodium acetate, pH 4.73, 5% sodium chloride (w/v), 25% ethylene glycol (v/v), micro-seeded, VAPOR DIFFUSION, HANGING DROP, temperature 293K"
"4HV1","LB-nanofilms were generated by the Langmuir Blodgett (LB) technique and its variation, a modified Langmuir Schaeffer technique (LS).  
40 mg/ml, 50 mM, sodium acetate pH 4.5, 0.9 NaCl 1:1 in 50 mM sodium acetate , VAPOR DIFFUSION, HANGING DROP, temperature 298K"
"4HV2","LB-nanofilms were generated by the Langmuir Blodgett (LB) technique and its variation, a modified Langmuir Schaeffer technique (LS).    
40 mg/ml, 50 mM, sodium acetate pH 4.5, 0.9 NaCl 1:1 in 50 mM sodium acetate , VAPOR DIFFUSION, HANGING DROP, temperature 298K"
"4I8S","VAPOR DIFFUSION, HANGING DROP"
"4IAS"
"4IAT"
"4II8","Protein Solution: 20mg/ml lysozyme,50mM sodium acetate, 150mM NaCl,  
Reservoir Solution: 50mM sodium acetate, 1-1.5M NaCl, 2.5% benzyl alcohol, pH 3.8, VAPOR DIFFUSION, HANGING DROP, temperature 318K"
"4J1A","1.0-1.4 M NaCl, 0.050 M acetate. Crystals soaked in a saturated solution of AziRu containing 2.4 M NaCl in the same buffer. After a few hours, crystals changed their colour to yellow and then green. In a few days they turned to black., pH 4.5, VAPOR DIFFUSION, HANGING DROP, temperature 298K"
"4J1B","1.0-1.4 M NaCl, 0.050 M acetate buffer.Crystals were soaked in a saturated solution of AziRu containing 2.4 M NaCl in the same buffer. After a few hours, crystals changed their colour to yellow and then green. In a few days they turned to black, pH 4.5, VAPOR DIFFUSION, HANGING DROP, temperature 293K"
"4J7V","sodium chloride, pH 5.3, VAPOR DIFFUSION, HANGING DROP, temperature 293K"
"4KXI","Ni-Schiff-base solution , pH 4.8, VAPOR DIFFUSION, HANGING DROP, temperature 293K"
"4LFP"
"4LFX"
"4LGK"
"4LT0","2 uL protein/carboplatin/DMSO solution [20 mg (0.6 mM) HEWL + 1.4 mg (1.8 mM) carboplatin in 1 mL distilled water + 75 uL DMSO] + 2 uL reservoir solution [65% MPD, 0.1 M citric acid, pH 4.0] against 1 mL of reservoir solution, crystals grew after ~4 weeks, data collected 1 week after crystal growth, VAPOR DIFFUSION, HANGING DROP, temperature 294K"
"4LT1","2 uL protein/carboplatin/DMSO solution [20 mg (0.6 mM) HEWL + 1.4 mg (1.8 mM) carboplatin in 1 mL distilled water + 75 uL DMSO] + 2 uL reservoir solution [65% MPD, 0.1 M citric acid, pH 4.0] against 1 mL of reservoir solution, crystals grew after ~4 weeks, data collected 1 week after crystal growth, VAPOR DIFFUSION, HANGING DROP, temperature 294K"
"4LT2","2 uL protein/carboplatin/DMSO solution [20 mg (0.6 mM) HEWL + 1.4 mg (1.8 mM) carboplatin in 1 mL distilled water + 75 uL DMSO] + 2 uL reservoir solution [65% MPD, 0.1 M citric acid, pH 4.0] against 1 mL of reservoir solution, crystals grew after ~4 weeks, data collected 5 weeks after crystal growth, VAPOR DIFFUSION, HANGING DROP, temperature 294K"
"4LT3","2 uL protein/carboplatin/DMSO solution [20 mg (0.6 mM) HEWL + 1.4 mg (1.8 mM) carboplatin in 1 mL distilled water + 75 uL DMSO] + 2 uL reservoir solution [65% MPD, 0.1 M citric acid, pH 4.0] against 1 mL of reservoir solution, crystals grew after ~4 weeks, data collected 5 weeks after crystal growth, VAPOR DIFFUSION, HANGING DROP, temperature 294K"
"4LYB","6.5% NaCl (w/v) in 0.1 M sodium acetate, pH 4.5, EVAPORATION, temperature 298K , temperature 298.0K"
"4LYC","6.5% NaCl (w/v) in 0.1 M sodium acetate, pH 4.5, EVAPORATION, temperature 298K, temperature 298.0K"
"4LYM"
"4LYO","PROTEIN WAS CRYSTALLIZED FROM SODIUM ACETATE BUFFER (PH 4.3) CONTAINING 6.0% (W/V) SODIUM CHLORIDE"
"4LYT"
"4LYZ"
"4LZT","BATCH METHOD USED. 1% PROTEIN SOLUTION IN 100MM SODIUM ACETATE PH 4.5-4.6. SODIUM NITRATE ADDED TO A CONCENTRATION OF 20MGS/ML. CRYSTALS GROWN AT ROOM TEMPERATURE., batch method"
"4M4O","0.17M Sodium Acetate, 0.085M Tris-HCl, pH 8.5, 25.5% PEG-4000, 15% v/v glycerol, VAPOR DIFFUSION, SITTING DROP, temperature 298K"
"4M6D","1.1M Malonic Acid, 0.15 M Ammonium Citrate   
Tribasic, 0.072 M Succinic Acid, 0.18 M DL-Malic Acid, 0.24 M Sodium Acetate, 0.3 M   
Sodium Formate, 0.096 M Ammonium Tartrate  
Dibasic, Final pH 7.0, VAPOR DIFFUSION, SITTING DROP, temperature 298K"
"4MR1","HEWL crystals were grown at 293 K using the hanging drop vapour diffusion method. The reservoir (600 UL) contained 20 mM sodium acetate buffer at pH 4.2 and 1.0 M NaCl; the drop (0.5+0.5 UL) contained hen egg white lysozyme (10 mg mL-1) in the same acetate buffer (5mM) and reservoir solution. Crystals grow in 1 day. After 5 days, HEWL crystals were soaked in a DMSO solution of cis-PtI2(NH3)2. Final concentration of the metal complex in solution was >10 times higher than HEWL, VAPOR DIFFUSION, HANGING DROP, temperature 298K"
"4N0J","6 % PEG 8000, 100 mM, MAGNESIUM CHLORIDE,  50 mM SODIUM CHLORIDE, 100 mM SODIUM CACODYLATE, pH 6.1, VAPOR DIFFUSION, HANGING DROP, temperature 293.15K"
"4N1C","0.2 M ammonium acetate, 0.1 M BisTris (pH 5.5), 25% PEG3350, vapor diffusion, sitting drop, temperature 293K, VAPOR DIFFUSION, SITTING DROP"
"4N1E","0.2 M sodium formate, 18% (w/v) PEG3350, vapor diffusion, hanging drop, temperature 293K"
"4N5R","20 % NaCl, 6 % PEG 6000, 1 M Na acetate pH 3.0, stored in 8% NaCl, 0.1 M sodium acetate buffer, pH 4.0, soaked in storage solution + 100 mM gadoteridol, batch, temperature 293K"
"4N8Z","4% sodium chloride, 100mM sodium acetate pH 4.6, 120mg/ml, In situ crystallization on micromesh, temperature 290K"
"4N9R","Crystals of the complex have been obtained by soaking pre-grown HEWL crystals in a satured solution of Ir(Cl)5CO for 1 day, pH 4.5, VAPOR DIFFUSION, HANGING DROP"
"4NEB","Previously de-ionized lysozyme, no buffer added, 0.5 M MnCl2, pH 4.5, batch crystallization, temperature 293K"
"4NFV","Previously de-ionized lysozyme, no buffer added, 1.1 M MnCl2, pH 4.5, Batch crystallization, temperature 293K"
"4NG1","Previously de-ionized lysozyme, no buffer added, 1.9 M CsCl, pH 4.5, Batch crystallization, temperature 293K"
"4NG8","Dialyzed lysozyme, no buffer added, 1.9 M CsCl, pH 4.5, Batch crystallization, temperature 293K"
"4NGI","Previously de-ionized lysozyme, no buffer added, 1.0 M RbCl, 30% (v/v) glycerol, pH 4.5, VAPOR DIFFUSION, SITTING DROP, temperature 293K"
"4NGJ","Dialyzed lysozyme, no buffer added, 1.0 M RbCl, pH 4.5, Batch crystallization, temperature 293K"
"4NGK","Previously de-ionized lysozyme, no buffer added, 0.2 M CoCl2, pH 4.5, Batch crystallization, temperature 293K"
"4NGL","Previously de-ionized lysozyme, no buffer added, 0.6 M CoCl2, pH 4.5, Batch crystallization, temperature 293K"
"4NGO","Previously de-ionized lysozyme, no buffer added, 1.0 M CoCl2, pH 4.5, Batch crystallization, temperature 293K"
"4NGV","Previously de-ionized lysozyme, no buffer added, 0.5 M YbCl3, pH 4.5, Batch crystallization, temperature 293K"
"4NGW","Dialyzed lysozyme, no buffer added, 0.5 M YbCl3, pH 4.5, Batch crystallization, EVAPORATION, temperature 293K"
"4NGY","Dialyzed lysozyme, no buffer added, 0.75 M YbCl3, pH 4.5, EVAPORATION, temperature 293K"
"4NGZ","Previously de-ionized lysozyme, no buffer added, 0.5 M YbCl3, 30% (v/v) glycerol , pH 4.5, VAPOR DIFFUSION, SITTING DROP, temperature 293K"
"4NHI","80mg/ml hen egg-white lysozyme, 100mM TrisHCl, 0.4M Mg-Formate(0.2~0.6 M), pH 7.5, VAPOR DIFFUSION, HANGING DROP, temperature 277K"
"4NHP","Ir(Cl)5CO, pH 4.5, VAPOR DIFFUSION, HANGING DROP, temperature 298K"
"4NHQ","Ir(Cl)5CO for 5 days, pH 4.5, VAPOR DIFFUSION, HANGING DROP, temperature 298K"
"4NHS","Ir(Cl)5CO for 9 days, pH 4.5, VAPOR DIFFUSION, HANGING DROP, temperature 298K"
"4NHT","Ir(Cl)5CO for 6 days, pH 4.5, VAPOR DIFFUSION, HANGING DROP, temperature 298K"
"4NIJ","Ir(Cl)5CO for 30 days, pH 4.5, VAPOR DIFFUSION, HANGING DROP, temperature 298K"
"4NSG","20mg HEWL co-crystallised with 1.4mg carboplatin with 75  l DMSO, 462.5  l 0.1M NaAc and 462.5  l 1M NaBr solution., pH 4.7, Batch, temperature 294K"
"4NSH","20mg of HEWL (0.6mM) was dissolved in 1ml distilled water. 1.4mg of carboplatin (1.8mM) was added with 75  l DMSO. 2  l of this mixed with 2  l resevoir soultion 0.2M NH4SO4, 0.1M NaAc in 25% PEG 4000 at pH 4.6, VAPOR DIFFUSION, HANGING DROP, temperature 298K"
"4NSI","20mg of HEWL (0.6mM) was dissolved in 1ml distilled water. 1.4mg of carboplatin (1.8mM) was added along with 75  l DMSO. 2  l of this was mixed with 2  l of resevoir solution 20% PEG 4000 at pH5.6, VAPOR DIFFUSION, HANGING DROP, temperature 298K"
"4NSJ","20mg of HEWL (0.6mM) was dissolved in 1ml distilled water. 1.4mg of carboplatin (1.8mM) was added with 75  l DMSO. 2  l of this was mixed with 2  l of resevoir solution 2M NH4formate, 0.1M HEPES at pH 7.5 , VAPOR DIFFUSION, HANGING DROP, temperature 298K"
"4NWE","0.1M sodium acetate, 0.6-1.1M NaCl, pH 4.6, BATCH, temperature 300K"
"4NWH","0.1M sodium acetate, 0.6-1.1M NaCl, pH 4.6, BATCH, temperature 300K"
"4NY5","Crystals of the HEWL/NAMI-A adduct suitable for X-ray diffraction studies Have been grown by hanging drop vapor diffusion by mixing 1   L of 20 mg/mL HEWL/NAMI-A complex (protein to metal ratio 1:10) with an equal volume of reservoir solution containing 1.0 M NaCl and 50 mM sodium acetate pH 4.5. These crystals were fished with nylon loops and flash-frozen at 100 K using nitrogen gas, without cryoprotectant. This procedure partly dehydrates the crystals, enhancing in some cases the resolution of X-ray diffraction data, VAPOR DIFFUSION, HANGING DROP, temperature 293K"
"4O34","14.7 % (w/v) NaCl, 22 % (w/v) PEG 8000, 500 mM acetate buffer pH 3, 100 mg/ml lysozyme, batch, temperature 293K"
"4OOO","Crystals of HEWL in the presence of the diruthernium compound (1:10 ratio) suitable for X-ray diffraction were grown at 293 K using the hanging drop vapour diffusion method, 1.0-1.2 mol L-1 NaCl as a precipitating agent in 0.050 mol L-1 acetate buffer at pH 4.2 and protein concentration 15 mg mL-1. , VAPOR DIFFUSION, HANGING DROP"
"4OOT","crystal of lysozyme have been obtained in the presence of Aubipyc (1:10 protein to metal ratio) via the hanging drop vapor diffusion method. These crystals have been grown using a reservoir solution of 0.6 M NaNO3,  0.1 M sodium acetate pH 4.4 and 20 % ethylene glycol, VAPOR DIFFUSION, HANGING DROP, temperature 298K"
"4OWA","20mg HEWL co-crystallised with 1.4mg carboplatin with 75?l DMSO, 462.5?l 0.1M NaAc and 462.5?l 1M NaI solution"
"4OWB","20mg HEWL co-crystallised with 1.2mg cisplatin with 75?l DMSO, 462.5?l 0.1M NaAc and 462.5?l 1M NaBr solution"
"4OWC","HEWL (60 mg) was dissolved in 0.04 M acetate buffer, pH 4.7 (1 mL) and 10% NaCl (1 mL) was added to the solution. HEWL crystals were soaked for 24hrs in a solution of K2PtI6 (10mM)."
"4OWE","HEWL (60 mg) was dissolved in 0.04 M acetate buffer, pH 4.7 (1 mL) and 10% NaCl (1 mL) was added to the solution. HEWL crystals were soaked for 24hrs in a solution of K2PtCl6 (10mM)"
"4OWH","HEWL (60 mg) was dissolved in 0.04 M acetate buffer, pH 4.7 (1 mL) and 10% NaCl (1 mL) was added to the solution. HEWL crystals were soaked for 24hrs in a solution of K2PtBr6 (10mM)"
"4P2E","0.2M sodium acetate pH4.6, 8% sodium chloride"
"4PGJ","Protein at 4.4 mg/mL in 50 mM Tris (pH 7.5) amd 150 mM NaCl. Well solution contained 28% (w/v) PEG1500, 100 mM Na-citrate (pH 5.4). 400 nL of well solution and protein solution were combined."
"4PHI","1.2 M sodium chloride, 0.1 M sodium acetate pH 4.8"
"4PPO","Crystals of HEWL in the presence of Oxaliplatin (protein to metal drug ratio 1:10, incubation time=24 h) have been grown by hanging drop vapour diffusion method using a reservoir solution of 0.6 M NaNO3, 0.1 M sodium acetate pH 4.4 and 20 % ethylene glycol, VAPOR DIFFUSION, HANGING DROP, temperature 293K"
"4PRQ","24 % PEG 8000, 100 MM MAGNESIUM CHLORIDE, 50 MM SODIUM CHLORIDE, 50 MM SODIUM CACODYLATE, pH 6.3, VAPOR DIFFUSION, HANGING DROP, temperature 293.15K"
"4PRU","18 % PEG 8000    
100 mM MAGNESIUM CHLORIDE,    
50 mM SODIUM CHLORIDE,   
50 mM SODIUM CACODYLATE PH 6.3, VAPOR DIFFUSION, HANGING DROP, temperature 293.15 K"
"4QEQ","9% w/v sodium chloride, 0.1 M sodium acetate, pH 4.9, VAPOR DIFFUSION, HANGING DROP, temperature 293K"
"4QGZ"
"4QY9","1 M sodium chloride, 0.05 M sodium acetate, pH 4.0, VAPOR DIFFUSION, HANGING DROP, temperature 293K"
"4R0F","Protein Solution: 40mg/ml lysozyme, 50mM sodium acetate, 150mM NaCl, Reservoir Solution: 50mM sodium acetate, 1-1.5M NaCl, pH 3.8, VAPOR DIFFUSION, HANGING DROP, temperature 318K"
"4R6C","NaCl; Ta6Br12 2mM. A crystal was soaked in K2PtBr6 10mM., pH 4.5, Batch, temperature 293K"
"4RDS","1.2M NaCl, 25% Ethylene Glycol, 50mM NaOAc(pH 4.5), schilling Red Food coloring dye., VAPOR DIFFUSION, HANGING DROP, temperature 293K"
"4RLM","20% (w/v) NaCl, 6% (w/v) PEG6000, 0.5 M NaCl, pH 3.5, VAPOR DIFFUSION, SITTING DROP, temperature 293K"
"4RLN","20% (w/v) NaCl, 6% (w/v) PEG6000, 0.5 M NaCl, pH 3.5, VAPOR DIFFUSION, HANGING DROP, temperature 293K"
"4RW1","After crystallization, the solution used for growing the crystals (20 % NaCl, 6 % PEG 6000, 1 M Na acetate pH 3.0) was exchanged for storage solution (10 % NaCl, 1.0 M Na acetate pH 3.4), batch, temperature 293K"
"4RW2","After crystallization, the solution used for growing the crystals (20 % NaCl, 6 % PEG 6000, 1 M Na acetate pH 3.0) was exchanged for storage solution (10 % NaCl, 1.0 M Na acetate pH 3.4) 
, batch, temperature 293K"
"4TSA","PCTP 100mM pH 6.5, 25% Peg10k"
"4TSB","100mM PCPT pH 5.5, 200mM MgCl2, 22 % w/v PEG 3350"
"4TSC","100mM PCTP pH 8.5, 25% w/v Peg3350 Magnesium Chloride 200mM"
"4TTD","100mM PCTP pH 4.5, 25% w/v Peg3350, ethanol 5%"
"4TUN","Sodium Acetate, Sodium Chloride"
"4TWS","Tetragonal crystals were grown by the vapour-diffusion technique using the hanging-drop method, with 0.7-1.0 M sodium chloride and 50 mM sodium acetate buffer at pH 4.5. Derivative crystals containing gadolinium were obtained using concentrations of Gd-HPDO3A in the range 10-100 mM."
"4U3X","300 mM sodium citrate, 16% PEG 3350"
"4UWN","2-10% (M/V) NACL IN 0.1 M ACETATE BUFFER PH 4.5. PROTEIN STOCK CONCENTRATION OF 50 MG/ML. HANGING DROP VAPOR DIFFUSION METHOD, 293K"
"4UWU","2-10% (M/V) NACL IN 0.1 M ACETATE BUFFER PH 4.5. PROTEIN STOCK CONCENTRATION OF 50 MG/ML. HANGING DROP VAPOR DIFFUSION METHOD, 293K"
"4UWV","2-10% (M/V) NACL IN 0.1 M ACETATE BUFFER PH 4.5. PROTEIN STOCK CONCENTRATION OF 50 MG/ML. HANGING DROP VAPOR DIFFUSION METHOD, 293K"
"4W94","NaCl, sodium acetate"
"4W96","NaCl, sodium acetate"
"4WG1","50mM Sodium acetate pH 4.5, 16% PEG 4K, 3.5M NaCl"
"4WG7","50mM Sodium acetate pH 4.5, 16% PEG 4K, 3.5M NaCl"
"4WL6","50mM Sodium acetate pH 4.5, 16% PEG 4K, 3.5M NaCl"
"4WL7","50mM Sodium acetate pH 4.5, 16% PEG 4K, 3.5M NaCl"
"4WLD","sodium chloride"
"4WLT","Sodium chloride"
"4WLX","Sodium chloride"
"4WLY","Sodium chloride"
"4WM1","Sodium chloride"
"4WM2","Sodium chloride"
"4WM3","Sodium chloride"
"4WM4","Sodium chloride"
"4WM5","Sodium chloride"
"4WM6","Sodium chloride"
"4WMG","15% sodium chloride, 6% poly-ethylene glycol 8000 and 0.5M sodium acetate"
"4WO6","1 M NaCl, 25% Glycerol, 0.1 M Na Acetate, pH 4.6, gentle agitation"
"4WO9","1M NaCl, 25% Glycerol, 0.1 M Na Acetate, pH 4.6, gentle agitation"
"4WOA","1 M NaCl, 0.1 M Na Acetate, 25% Glycerol, gentle agitation"
"4X3B","0.1 M Sodium Acetate pH 4.0, 8% (w/v) NaCl"
"4XAD","100 mM NaOAc, 1.5 M NaCl"
"4XEN","Sodium chloride"
"4XJB","0.5-1 M NaCl, 50-100 mM CH3COONa, pH4.5, and 15-30% PEG 400"
"4XJD","0.5-1 M NaCl, 50-100 mM CH3COONa, pH4.5, and 15-30% PEG 400"
"4XJF","1M NaBr, 50-100 mM CH3COONa, pH4.5, 15-30% pEG 400"
"4XJG","1M NaBr, 50-100 mM CH3COONa, pH4.5, 15-30% pEG 400"
"4XJH","0.5-1M NaCl, 50-100 mM CH3COONa, pH4.5, 15-30% PEG 400"
"4XJI","0.5-1M NaCl, 50-100 mM CH3COONa, pH4.5, 15-30% PEG 400"
"4XN6","NaOAc 100mM 
,4% (w/v) NaCl"
"4XYY","0.1 M Sodium HEPES pH 7.5, 2.0 M Ammonium sulphate"
"4YEM","co-crystallizing 20 mg ml HEWL with 1.4 mg carboplatin in 75 ml DMSO, 462.5 ml 0.1 M sodium acetate, 462.5 ml 1 M NaBr solution."
"4YEN","HEWL co-crystallized with cisplatin with 5% DMSO media in 1 mL 10% sodium chloride + 1 ml 0.04 M sodium acetate, pH 4.7"
"4YEO","40mg HEWL co-crystallised with 2.6mg cisplatin, with the platinum compounds being in a 3-fold molar excess to the protein. 462.5 ul of a 0.02M NaAc solution along with 462.5 ul of a 0.5M NaNo3 solution was used with 75 ul DMSO added"
"4YM8","sodium chloride, PEG 6000, pH 3.0, batch, temperature 293K"
"4YOP","sodium chloride, PEG 6000"
"4Z3M","20% ethylene glycol, 0.1 M sodium acetate pH 4.5, 0.6 M sodium nitrate"
"4Z41","20 % ethylene glycol, 0.1 M sodium acetate pH 4.5, 0.6 M sodium nitrate"
"4Z46","0.6 M sodium nitrate, 0.1 M sodium acetate pH 4.4, 20 %ethylene glycol"
"4Z98","20% w/v NaCl, 8% w/v PEG 8000, 0.5 M Sodium acetate"
"4ZEE","Best crystals grow within 2-10 days from the following conditions: 0.6 M NaNO3, 0.1 M sodium acetate pH 4.4 and 20 % ethylene glycol."
"4ZFP","Best crystals grow within 2 days from the following conditions: 0.6 M NaNO3, 0.1 M sodium acetate pH 4.4 and 20 % ethylene glycol."
"4ZIX","Lysozyme powder from chicken egg white was dissolved in 0.02 M Sodium acetate pH 4.6 buffer to a final concentration of 50 mg/mL.  Crystallization was initiated by injecting 20 uL of lysozyme solution (50 mg/mL) into 1 mL of precipitant solution (20 %(w/v) NaCl, 6 %(v/v) PEG 6000, 1 M Na acetate pH 3.0) at room temperature."
"5A3Z"
"5AMY","0.1 M SODIUM ACETATE, 1.25 M NACL, PH=4.6"
"5APC","50MM NA ACETATE, PH 4.5 1M NACL 25% ETHYLENE GLYCOL 30-100MG/ML HEWL IN 50MM NA ACETATE, PH 4.5"
"5APD","50MM NA ACETATE, PH 4.5 1M NACL 25% ETHYLENE GLYCOL 30-100MG/ML HEWL IN 50MM NA ACETATE, PH 4.5"
"5APE","30-100MG/ML HEWL IN 50MM NAAC PH 4.5 RESERVOIR: 50MM NAAC PH 4.5 1M NACL 25% ETHYLENE GLYCOL"
"5APF","30-100MGML HEWL IN 50MM NAAC PH4.5 RESERVOIR: 50MM NAAC PH4.5, 1M NACL, 25% ETHYLENE GLYCOL"
"5B05","NaCl, Ethylene glycol"
"5B06","NaCl, ethylene glycol"
"5B07","NaCl, ethylene glycol"
"5B1F","NaCl"
"5B1G","NaCl"
"5B59","0.8M NaCl, 0.05M AcOH"
"5B5J","0.1 M sodium acetatebuffer (pH4.7), 0.4M NaCl"
"5C6I","20 % NaCl, 6 % PEG 6000, 1 M Na acetate pH 3.0, stored in 8% NaCl, 0.1 M sodium acetate buffer, pH 4.0, soaked in storage solution + 100 mM gadoteridol, batch, temperature 293K"
"5C6J","20 % NaCl, 6 % PEG 6000, 1 M Na acetate pH 3.0, stored in 8% NaCl, 0.1 M sodium acetate buffer, pH 4.0, soaked in storage solution + 100 mM gadoteridol, batch, temperature 293K"
"5C6L","20 % NaCl, 6 % PEG 6000, 1 M Na acetate pH 3.0, stored in 8% NaCl, 0.1 M sodium acetate buffer, pH 4.0, soaked in storage solution + 100 mM gadoteridol, batch, temperature 293K"
"5D5C","0.5-1 M NaBr, 50-100 mM CH3COONa, pH 4.5, and 15-30 %(v/v) PEG400"
"5D5F","0.5-1 M NaBr, 50-100 mM CH3COONa, pH 4.5, and 15-30 %(v/v) PEG400"
"5DL9","Protein Solution (60 mg/ml protein in 0.1M Na acetate pH 4.6) mixed in a 1:1 ratio with the Well Solution (10% NaCl buffered in 0.1 M Na acetate pH 4.5). Cryoprotected in 10% NaI, 0.1 M Na acetate pH 4.5  25% ethylene glycol"
"5DLA","Protein Solution (60 mg/ml protein in 0.1M Na acetate pH 4.6) mixed in a 1:1 ratio with the Well Solution (10% NaCl buffered in 0.1 M Na acetate pH 4.5). Cryoprotected in 10% NaCl, 0.1 M Na acetate pH 4.5  25% ethylene glycol"
"5DM9","PEG 6000, Sodium chloride, Sodium acetate"
"5E4P","PEG4000, Sodium chloride"
"5E9R","Hen egg white lysozyme was incubated for 2 h in the presence of Ru-MBI in 1:10 protein to metal compound ratio. The adduct was then crystallized by using the hanging drop vapour diffusion method. Drops of 1 microliter were prepared at room temperature mixing 0.5 microliter of adduct at concentration 15 mg/mL with an equal amount of a reservoir constituted by 1.1 M NaCl, 0.1 M acetate buffer, pH 4.0. Crystals of the adduct grow within 24-48 hours."
"5EBH","Crystallization experiments were carried out at the High Throughput Crystallization Laboratory of the EMBL Grenoble Outstation (https://embl.fr/htxlab) using the sitting-drop vapour diffusion method and CrystalDirect plates . Crystallization experiments were set up with 100 nl of sample and 100 nl of crystallization solution on the inner surface of the films within a CrystalDirect plate with a Cartesian PixSys robot (Cartesian Technologies). The crystallization solution was 0.1 M sodium acetate, pH=4.6 and 1.25 M sodium chloride."
"5F14","10% (w/v) sodium chloride, 0.1M sodium acetate"
"5F16","2M sodium chloride, 12% (w/v) PEG 6000"
"5F81","Batch crystallization 120 mg/ml dissolved in 0.1M sodium acetate (4.6), crystallized with 6% sodium chloride + 10% v/v glycerol"
"5F9U","Crystals were grown using a reservoir solution of 1.1 M NaCl, 0.1 M sodium acetate pH 4.4 and a drop of 1 uL adduct solution and 1 uL reservoir solution."
"5F9X","Crystals were grown using a reservoir solution of 1.1 M NaCl, 0.1 M sodium acetate pH 4.4 and a drop of 1 uL adduct solution and 1 uL reservoir solution."
"5FCP","Crystals were grown using a reservoir solution of 1.1 M NaCl, 0.1 M sodium acetate pH 4.4 and a drop of 1 uL adduct solution and 1 uL reservoir solution."
"5FDJ","Na acetate, MPEG 5K, NaCl, Na acetate, ethylene glycerol"
"5FEK","Na acetate, MPEG 5K, NaCl, Na acetate, ethylene glycerol"
"5FEL","Na acetate, MPEG 5K, NaCl, Na acetate, ethylene glycerol"
"5FHW","25 mg/mL Lysozyme C, 1.45 mM 1:2 Hf-Wells Dawson, 2.0 M sodium chloride, 0.1 M potassium phosphate monobasic, 0.1 M sodium phosphate monobasic monohydrate, 0.1 M MES pH = 6.5"
"5FST","10% (W/V) NACL, 0.1M NA ACETATE PH 4.8 25% (V/V) ETH-GLYCOL"
"5GWB","Sodium Chloride"
"5HLL","HEWL CO-CRYSTALLIZED WITH CISPLATIN, WITH 5% DMSO MEDIA IN 1 ML, 10% SODIUM CHLORIDE + 1 ML 0.04 M        SODIUM ACETATE, PH 4.7, BATCH, TEMPERATURE 295K"
"5HMJ","CO-CRYSTALLIZING 20 MG ML HEWL WITH 1.4 MG CARBOPLATIN IN 75 MicroL DMSO, 462.5 MicroL 0.1 M SODIUM ACETATE, 462.5 MicroL 1 M NABR SOLUTION., PH 4.7, BATCH MODE, TEMPERATURE 297K ."
"5HMV","40MG HEWL CO-CRYSTALLISED WITH 2.6MG CISPLATIN, WITH THE PLATINUM COMPOUNDS BEING IN A 3-FOLD MOLAR  EXCESS TO THE PROTEIN. 462.5 MicroL OF A 0.02M NAAC SOLUTION ALONG      
WITH 462.5 MicroL OF A 0.5M NANO3 SOLUTION WAS USED WITH 75 MicroL DMSO ADDED, BATCH, PH 4.7, EVAPORATION, TEMPERATURE 294K"
"5HNC","PEG 4000, Sodium chloride"
"5HNL","PEG 4000, Sodium chloride"
"5HQ1","CRYSTALLIZATION CONDITIONS: 40MG HEWL CO-CRYSTALLISED WITH 2.6MG     
CISPLATIN, WITH THE PLATINUM COMPOUNDS BEING IN A 3-FOLD MOLAR  EXCESS TO THE PROTEIN. 462.5 UL OF A 0.02M NAAC SOLUTION ALONG      
WITH 462.5 UL OF A 0.5M NANO3 SOLUTION WAS USED WITH 75 UL DMSO ADDED, BATCH, TEMPERATURE 294K, PH 4.7, EVAPORATION."
"5I4W","sodium chloride, sodium citrate"
"5I4X","Sodium chloride, sodium citrate"
"5I4Y","sodium chloride, sodium citrate"
"5I53","Sodium chloride, sodium citrate"
"5I54","Sodium chloride, sodium citrate"
